score,judge,athlete,item,judge_athlete,judge_item,athlete_item
2,4,women79,=3Lz+3T,99,198,138
2,5,women79,=3Lz+3T,124,253,138
2,6,women79,=3Lz+3T,149,308,138
2,7,women79,=3Lz+3T,174,363,138
3,8,women79,=3Lz+3T,199,418,138
3,9,women79,=3Lz+3T,224,473,138
3,1,women79,=CCoSp,24,47,193
3,2,women79,=CCoSp,49,102,193
3,3,women79,=CCoSp,74,157,193
2,4,women79,=CCoSp,99,212,193
3,5,women79,=CCoSp,124,267,193
3,6,women79,=CCoSp,149,322,193
3,7,women79,=CCoSp,174,377,193
3,8,women79,=CCoSp,199,432,193
3,9,women79,=CCoSp,224,487,193
2,1,women79,=ChSq,24,48,218
3,2,women79,=ChSq,49,103,218
3,3,women79,=ChSq,74,158,218
3,4,women79,=ChSq,99,213,218
3,5,women79,=ChSq,124,268,218
3,6,women79,=ChSq,149,323,218
2,7,women79,=ChSq,174,378,218
3,8,women79,=ChSq,199,433,218
3,9,women79,=ChSq,224,488,218
3,1,women79,=FCCoSp,24,49,237
2,2,women79,=FCCoSp,49,104,237
2,3,women79,=FCCoSp,74,159,237
3,4,women79,=FCCoSp,99,214,237
3,5,women79,=FCCoSp,124,269,237
3,6,women79,=FCCoSp,149,324,237
2,7,women79,=FCCoSp,174,379,237
3,8,women79,=FCCoSp,199,434,237
3,9,women79,=FCCoSp,224,489,237
2,1,women79,=LSp,24,53,266
4,2,women79,=LSp,49,108,266
3,3,women79,=LSp,74,163,266
4,4,women79,=LSp,99,218,266
4,5,women79,=LSp,124,273,266
4,6,women79,=LSp,149,328,266
4,7,women79,=LSp,174,383,266
4,8,women79,=LSp,199,438,266
5,9,women79,=LSp,224,493,266
3,1,women79,=StSq,24,55,293
2,2,women79,=StSq,49,110,293
3,3,women79,=StSq,74,165,293
3,4,women79,=StSq,99,220,293
2,5,women79,=StSq,124,275,293
3,6,women79,=StSq,149,330,293
2,7,women79,=StSq,174,385,293
2,8,women79,=StSq,199,440,293
2,9,women79,=StSq,224,495,293
2,1,women92,=2A,25,4,22
2,2,women92,=2A,50,59,22
1,3,women92,=2A,75,114,22
2,4,women92,=2A,100,169,22
1,5,women92,=2A,125,224,22
2,6,women92,=2A,150,279,22
1,7,women92,=2A,175,334,22
2,8,women92,=2A,200,389,22
3,9,women92,=2A,225,444,22
3,1,women92,=3F+2A+SEQ,25,14,63
3,2,women92,=3F+2A+SEQ,50,69,63
3,3,women92,=3F+2A+SEQ,75,124,63
3,4,women92,=3F+2A+SEQ,100,179,63
3,5,women92,=3F+2A+SEQ,125,234,63
3,6,women92,=3F+2A+SEQ,150,289,63
2,7,women92,=3F+2A+SEQ,175,344,63
3,8,women92,=3F+2A+SEQ,200,399,63
3,9,women92,=3F+2A+SEQ,225,454,63
-1,1,women92,=3F+2T,25,15,66
0,2,women92,=3F+2T,50,70,66
-2,3,women92,=3F+2T,75,125,66
0,4,women92,=3F+2T,100,180,66
-1,5,women92,=3F+2T,125,235,66
0,6,women92,=3F+2T,150,290,66
-1,7,women92,=3F+2T,175,345,66
0,8,women92,=3F+2T,200,400,66
1,9,women92,=3F+2T,225,455,66
1,1,women92,=3Lo,25,20,91
1,2,women92,=3Lo,50,75,91
1,3,women92,=3Lo,75,130,91
0,4,women92,=3Lo,100,185,91
0,5,women92,=3Lo,125,240,91
2,6,women92,=3Lo,150,295,91
1,7,women92,=3Lo,175,350,91
0,8,women92,=3Lo,200,405,91
1,9,women92,=3Lo,225,460,91
2,1,women92,=3Lz,25,26,112
3,2,women92,=3Lz,50,81,112
2,3,women92,=3Lz,75,136,112
3,4,women92,=3Lz,100,191,112
3,5,women92,=3Lz,125,246,112
3,6,women92,=3Lz,150,301,112
1,7,women92,=3Lz,175,356,112
3,8,women92,=3Lz,200,411,112
3,9,women92,=3Lz,225,466,112
-1,1,women92,=3Lz+2T+2Lo,25,30,126
0,2,women92,=3Lz+2T+2Lo,50,85,126
-1,3,women92,=3Lz+2T+2Lo,75,140,126
0,4,women92,=3Lz+2T+2Lo,100,195,126
-1,5,women92,=3Lz+2T+2Lo,125,250,126
0,6,women92,=3Lz+2T+2Lo,150,305,126
-1,7,women92,=3Lz+2T+2Lo,175,360,126
-2,8,women92,=3Lz+2T+2Lo,200,415,126
0,9,women92,=3Lz+2T+2Lo,225,470,126
-2,1,women92,=3S,25,34,149
-1,2,women92,=3S,50,89,149
-1,3,women92,=3S,75,144,149
-2,4,women92,=3S,100,199,149
-2,5,women92,=3S,125,254,149
-2,6,women92,=3S,150,309,149
-2,7,women92,=3S,175,364,149
-2,8,women92,=3S,200,419,149
-1,9,women92,=3S,225,474,149
3,1,women92,=CCoSp,25,47,194
3,2,women92,=CCoSp,50,102,194
3,3,women92,=CCoSp,75,157,194
4,4,women92,=CCoSp,100,212,194
4,5,women92,=CCoSp,125,267,194
4,6,women92,=CCoSp,150,322,194
3,7,women92,=CCoSp,175,377,194
4,8,women92,=CCoSp,200,432,194
3,9,women92,=CCoSp,225,487,194
3,1,women92,=ChSq,25,48,219
3,2,women92,=ChSq,50,103,219
3,3,women92,=ChSq,75,158,219
4,4,women92,=ChSq,100,213,219
4,5,women92,=ChSq,125,268,219
3,6,women92,=ChSq,150,323,219
3,7,women92,=ChSq,175,378,219
4,8,women92,=ChSq,200,433,219
3,9,women92,=ChSq,225,488,219
2,1,women92,=FCCoSp,25,49,238
3,2,women92,=FCCoSp,50,104,238
3,3,women92,=FCCoSp,75,159,238
2,4,women92,=FCCoSp,100,214,238
3,5,women92,=FCCoSp,125,269,238
3,6,women92,=FCCoSp,150,324,238
2,7,women92,=FCCoSp,175,379,238
3,8,women92,=FCCoSp,200,434,238
2,9,women92,=FCCoSp,225,489,238
3,1,women92,=LSp,25,53,267
3,2,women92,=LSp,50,108,267
4,3,women92,=LSp,75,163,267
3,4,women92,=LSp,100,218,267
4,5,women92,=LSp,125,273,267
3,6,women92,=LSp,150,328,267
4,7,women92,=LSp,175,383,267
4,8,women92,=LSp,200,438,267
4,9,women92,=LSp,225,493,267
3,1,women92,=StSq,25,55,294
3,2,women92,=StSq,50,110,294
4,3,women92,=StSq,75,165,294
3,4,women92,=StSq,100,220,294
3,5,women92,=StSq,125,275,294
3,6,women92,=StSq,150,330,294
2,7,women92,=StSq,175,385,294
4,8,women92,=StSq,200,440,294
3,9,women92,=StSq,225,495,294
