score,judge,athlete,athlete_item,judge_athlete,judge_item,Element
1,8,women209,31,186,392,=2A+3T
2,9,women209,31,211,447,=2A+3T
-4,1,women209,51,11,12,=3F
-3,2,women209,51,36,67,=3F
-4,3,women209,51,61,122,=3F
-2,4,women209,51,86,177,=3F
-3,5,women209,51,111,232,=3F
-3,6,women209,51,136,287,=3F
-4,7,women209,51,161,342,=3F
-3,8,women209,51,186,397,=3F
-2,9,women209,51,211,452,=3F
-3,1,women209,81,11,20,=3Lo
-3,2,women209,81,36,75,=3Lo
-3,3,women209,81,61,130,=3Lo
-2,4,women209,81,86,185,=3Lo
-3,5,women209,81,111,240,=3Lo
-3,6,women209,81,136,295,=3Lo
-3,7,women209,81,161,350,=3Lo
-4,8,women209,81,186,405,=3Lo
-3,9,women209,81,211,460,=3Lo
-5,1,women209,99,11,25,=3Lo+3Lo
-5,2,women209,99,36,80,=3Lo+3Lo
-5,3,women209,99,61,135,=3Lo+3Lo
-5,4,women209,99,86,190,=3Lo+3Lo
-5,5,women209,99,111,245,=3Lo+3Lo
-5,6,women209,99,136,300,=3Lo+3Lo
-5,7,women209,99,161,355,=3Lo+3Lo
-5,8,women209,99,186,410,=3Lo+3Lo
-5,9,women209,99,211,465,=3Lo+3Lo
0,1,women209,125,11,30,=3Lz+2T+2Lo
2,2,women209,125,36,85,=3Lz+2T+2Lo
1,3,women209,125,61,140,=3Lz+2T+2Lo
2,4,women209,125,86,195,=3Lz+2T+2Lo
2,5,women209,125,111,250,=3Lz+2T+2Lo
2,6,women209,125,136,305,=3Lz+2T+2Lo
1,7,women209,125,161,360,=3Lz+2T+2Lo
2,8,women209,125,186,415,=3Lz+2T+2Lo
2,9,women209,125,211,470,=3Lz+2T+2Lo
-1,1,women209,142,11,34,=3S
-1,2,women209,142,36,89,=3S
-2,3,women209,142,61,144,=3S
-1,4,women209,142,86,199,=3S
-1,5,women209,142,111,254,=3S
0,6,women209,142,136,309,=3S
-2,7,women209,142,161,364,=3S
-1,8,women209,142,186,419,=3S
-1,9,women209,142,211,474,=3S
4,1,women209,180,11,47,=CCoSp
3,2,women209,180,36,102,=CCoSp
3,3,women209,180,61,157,=CCoSp
3,4,women209,180,86,212,=CCoSp
4,5,women209,180,111,267,=CCoSp
3,6,women209,180,136,322,=CCoSp
4,7,women209,180,161,377,=CCoSp
4,8,women209,180,186,432,=CCoSp
4,9,women209,180,211,487,=CCoSp
4,1,women209,205,11,48,=ChSq
3,2,women209,205,36,103,=ChSq
3,3,women209,205,61,158,=ChSq
3,4,women209,205,86,213,=ChSq
3,5,women209,205,111,268,=ChSq
3,6,women209,205,136,323,=ChSq
2,7,women209,205,161,378,=ChSq
3,8,women209,205,186,433,=ChSq
3,9,women209,205,211,488,=ChSq
2,1,women209,228,11,49,=FCCoSp
2,2,women209,228,36,104,=FCCoSp
3,3,women209,228,61,159,=FCCoSp
2,4,women209,228,86,214,=FCCoSp
3,5,women209,228,111,269,=FCCoSp
3,6,women209,228,136,324,=FCCoSp
2,7,women209,228,161,379,=FCCoSp
2,8,women209,228,186,434,=FCCoSp
2,9,women209,228,211,489,=FCCoSp
3,1,women209,259,11,53,=LSp
3,2,women209,259,36,108,=LSp
3,3,women209,259,61,163,=LSp
4,4,women209,259,86,218,=LSp
4,5,women209,259,111,273,=LSp
3,6,women209,259,136,328,=LSp
4,7,women209,259,161,383,=LSp
4,8,women209,259,186,438,=LSp
4,9,women209,259,211,493,=LSp
2,1,women209,280,11,55,=StSq
2,2,women209,280,36,110,=StSq
3,3,women209,280,61,165,=StSq
3,4,women209,280,86,220,=StSq
3,5,women209,280,111,275,=StSq
3,6,women209,280,136,330,=StSq
3,7,women209,280,161,385,=StSq
2,8,women209,280,186,440,=StSq
3,9,women209,280,211,495,=StSq
2,1,women222,13,12,4,=2A
2,2,women222,13,37,59,=2A
1,3,women222,13,62,114,=2A
2,4,women222,13,87,169,=2A
1,5,women222,13,112,224,=2A
2,6,women222,13,137,279,=2A
2,7,women222,13,162,334,=2A
2,8,women222,13,187,389,=2A
2,9,women222,13,212,444,=2A
-2,1,women222,32,12,7,=2A+3T
0,2,women222,32,37,62,=2A+3T
-2,3,women222,32,62,117,=2A+3T
-2,4,women222,32,87,172,=2A+3T
-2,5,women222,32,112,227,=2A+3T
0,6,women222,32,137,282,=2A+3T
-2,7,women222,32,162,337,=2A+3T
-2,8,women222,32,187,392,=2A+3T
0,9,women222,32,212,447,=2A+3T
1,1,women222,39,12,10,=2S
1,2,women222,39,37,65,=2S
0,3,women222,39,62,120,=2S
1,4,women222,39,87,175,=2S
2,5,women222,39,112,230,=2S
2,6,women222,39,137,285,=2S
1,7,women222,39,162,340,=2S
1,8,women222,39,187,395,=2S
1,9,women222,39,212,450,=2S
-2,1,women222,52,12,12,=3F
-1,2,women222,52,37,67,=3F
-2,3,women222,52,62,122,=3F
-2,4,women222,52,87,177,=3F
-3,5,women222,52,112,232,=3F
0,6,women222,52,137,287,=3F
-2,7,women222,52,162,342,=3F
-2,8,women222,52,187,397,=3F
-1,9,women222,52,212,452,=3F
-5,1,women222,82,12,20,=3Lo
-5,2,women222,82,37,75,=3Lo
-5,3,women222,82,62,130,=3Lo
-5,4,women222,82,87,185,=3Lo
-5,5,women222,82,112,240,=3Lo
-5,6,women222,82,137,295,=3Lo
-5,7,women222,82,162,350,=3Lo
-5,8,women222,82,187,405,=3Lo
-5,9,women222,82,212,460,=3Lo
-5,1,women222,97,12,24,=3Lo+2T+2Lo
-5,2,women222,97,37,79,=3Lo+2T+2Lo
-5,3,women222,97,62,134,=3Lo+2T+2Lo
-3,4,women222,97,87,189,=3Lo+2T+2Lo
-4,5,women222,97,112,244,=3Lo+2T+2Lo
-5,6,women222,97,137,299,=3Lo+2T+2Lo
-5,7,women222,97,162,354,=3Lo+2T+2Lo
-5,8,women222,97,187,409,=3Lo+2T+2Lo
-3,9,women222,97,212,464,=3Lo+2T+2Lo
2,1,women222,134,12,33,=3Lz+3T
2,2,women222,134,37,88,=3Lz+3T
2,3,women222,134,62,143,=3Lz+3T
3,4,women222,134,87,198,=3Lz+3T
3,5,women222,134,112,253,=3Lz+3T
3,6,women222,134,137,308,=3Lz+3T
2,7,women222,134,162,363,=3Lz+3T
3,8,women222,134,187,418,=3Lz+3T
3,9,women222,134,212,473,=3Lz+3T
2,1,women222,181,12,47,=CCoSp
2,2,women222,181,37,102,=CCoSp
1,3,women222,181,62,157,=CCoSp
1,4,women222,181,87,212,=CCoSp
1,5,women222,181,112,267,=CCoSp
2,6,women222,181,137,322,=CCoSp
2,7,women222,181,162,377,=CCoSp
2,8,women222,181,187,432,=CCoSp
2,9,women222,181,212,487,=CCoSp
2,1,women222,206,12,48,=ChSq
3,2,women222,206,37,103,=ChSq
2,3,women222,206,62,158,=ChSq
2,4,women222,206,87,213,=ChSq
3,5,women222,206,112,268,=ChSq
3,6,women222,206,137,323,=ChSq
3,7,women222,206,162,378,=ChSq
3,8,women222,206,187,433,=ChSq
3,9,women222,206,212,488,=ChSq
2,1,women222,229,12,49,=FCCoSp
2,2,women222,229,37,104,=FCCoSp
2,3,women222,229,62,159,=FCCoSp
2,4,women222,229,87,214,=FCCoSp
2,5,women222,229,112,269,=FCCoSp
2,6,women222,229,137,324,=FCCoSp
3,7,women222,229,162,379,=FCCoSp
2,8,women222,229,187,434,=FCCoSp
3,9,women222,229,212,489,=FCCoSp
2,1,women222,245,12,51,=FCSp
2,2,women222,245,37,106,=FCSp
2,3,women222,245,62,161,=FCSp
2,4,women222,245,87,216,=FCSp
2,5,women222,245,112,271,=FCSp
2,6,women222,245,137,326,=FCSp
2,7,women222,245,162,381,=FCSp
2,8,women222,245,187,436,=FCSp
2,9,women222,245,212,491,=FCSp
2,1,women222,281,12,55,=StSq
2,2,women222,281,37,110,=StSq
2,3,women222,281,62,165,=StSq
2,4,women222,281,87,220,=StSq
2,5,women222,281,112,275,=StSq
2,6,women222,281,137,330,=StSq
2,7,women222,281,162,385,=StSq
2,8,women222,281,187,440,=StSq
3,9,women222,281,212,495,=StSq
2,1,women235,14,13,4,=2A
2,2,women235,14,38,59,=2A
1,3,women235,14,63,114,=2A
1,4,women235,14,88,169,=2A
2,5,women235,14,113,224,=2A
3,6,women235,14,138,279,=2A
2,7,women235,14,163,334,=2A
2,8,women235,14,188,389,=2A
2,9,women235,14,213,444,=2A
-5,1,women235,53,13,12,=3F
-5,2,women235,53,38,67,=3F
-5,3,women235,53,63,122,=3F
-5,4,women235,53,88,177,=3F
-5,5,women235,53,113,232,=3F
-5,6,women235,53,138,287,=3F
-5,7,women235,53,163,342,=3F
-5,8,women235,53,188,397,=3F
-5,9,women235,53,213,452,=3F
1,1,women235,71,13,19,=3F+3T
1,2,women235,71,38,74,=3F+3T
2,3,women235,71,63,129,=3F+3T
2,4,women235,71,88,184,=3F+3T
2,5,women235,71,113,239,=3F+3T
2,6,women235,71,138,294,=3F+3T
1,7,women235,71,163,349,=3F+3T
2,8,women235,71,188,404,=3F+3T
2,9,women235,71,213,459,=3F+3T
1,1,women235,96,13,23,=3Lo+2T
1,2,women235,96,38,78,=3Lo+2T
1,3,women235,96,63,133,=3Lo+2T
2,4,women235,96,88,188,=3Lo+2T
1,5,women235,96,113,243,=3Lo+2T
2,6,women235,96,138,298,=3Lo+2T
1,7,women235,96,163,353,=3Lo+2T
1,8,women235,96,188,408,=3Lo+2T
2,9,women235,96,213,463,=3Lo+2T
-2,1,women235,143,13,34,=3S
-3,2,women235,143,38,89,=3S
-3,3,women235,143,63,144,=3S
-3,4,women235,143,88,199,=3S
-3,5,women235,143,113,254,=3S
-5,6,women235,143,138,309,=3S
-4,7,women235,143,163,364,=3S
-4,8,women235,143,188,419,=3S
-3,9,women235,143,213,474,=3S
0,1,women235,151,13,35,=3S+2T
1,2,women235,151,38,90,=3S+2T
0,3,women235,151,63,145,=3S+2T
-1,4,women235,151,88,200,=3S+2T
-2,5,women235,151,113,255,=3S+2T
-1,6,women235,151,138,310,=3S+2T
1,7,women235,151,163,365,=3S+2T
-2,8,women235,151,188,420,=3S+2T
0,9,women235,151,213,475,=3S+2T
2,1,women235,182,13,47,=CCoSp
2,2,women235,182,38,102,=CCoSp
2,3,women235,182,63,157,=CCoSp
2,4,women235,182,88,212,=CCoSp
2,5,women235,182,113,267,=CCoSp
2,6,women235,182,138,322,=CCoSp
2,7,women235,182,163,377,=CCoSp
2,8,women235,182,188,432,=CCoSp
2,9,women235,182,213,487,=CCoSp
3,1,women235,207,13,48,=ChSq
1,2,women235,207,38,103,=ChSq
2,3,women235,207,63,158,=ChSq
2,4,women235,207,88,213,=ChSq
2,5,women235,207,113,268,=ChSq
2,6,women235,207,138,323,=ChSq
1,7,women235,207,163,378,=ChSq
1,8,women235,207,188,433,=ChSq
3,9,women235,207,213,488,=ChSq
2,1,women235,246,13,51,=FCSp
2,2,women235,246,38,106,=FCSp
1,3,women235,246,63,161,=FCSp
1,4,women235,246,88,216,=FCSp
1,5,women235,246,113,271,=FCSp
2,6,women235,246,138,326,=FCSp
1,7,women235,246,163,381,=FCSp
2,8,women235,246,188,436,=FCSp
1,9,women235,246,213,491,=FCSp
2,1,women235,260,13,53,=LSp
2,2,women235,260,38,108,=LSp
1,3,women235,260,63,163,=LSp
2,4,women235,260,88,218,=LSp
2,5,women235,260,113,273,=LSp
3,6,women235,260,138,328,=LSp
2,7,women235,260,163,383,=LSp
3,8,women235,260,188,438,=LSp
2,9,women235,260,213,493,=LSp
3,1,women235,282,13,55,=StSq
2,2,women235,282,38,110,=StSq
2,3,women235,282,63,165,=StSq
2,4,women235,282,88,220,=StSq
2,5,women235,282,113,275,=StSq
2,6,women235,282,138,330,=StSq
1,7,women235,282,163,385,=StSq
1,8,women235,282,188,440,=StSq
1,9,women235,282,213,495,=StSq
0,1,women248,1,14,1,=1Lo
0,2,women248,1,39,56,=1Lo
0,3,women248,1,64,111,=1Lo
0,4,women248,1,89,166,=1Lo
0,5,women248,1,114,221,=1Lo
0,6,women248,1,139,276,=1Lo
0,7,women248,1,164,331,=1Lo
0,8,women248,1,189,386,=1Lo
0,9,women248,1,214,441,=1Lo
1,1,women248,15,14,4,=2A
2,2,women248,15,39,59,=2A
1,3,women248,15,64,114,=2A
2,4,women248,15,89,169,=2A
1,5,women248,15,114,224,=2A
2,6,women248,15,139,279,=2A
1,7,women248,15,164,334,=2A
2,8,women248,15,189,389,=2A
2,9,women248,15,214,444,=2A
-5,1,women248,54,14,12,=3F
-5,2,women248,54,39,67,=3F
-5,3,women248,54,64,122,=3F
-5,4,women248,54,89,177,=3F
-5,5,women248,54,114,232,=3F
-5,6,women248,54,139,287,=3F
-5,7,women248,54,164,342,=3F
-5,8,women248,54,189,397,=3F
-5,9,women248,54,214,452,=3F
1,1,women248,106,14,26,=3Lz
2,2,women248,106,39,81,=3Lz
1,3,women248,106,64,136,=3Lz
1,4,women248,106,89,191,=3Lz
1,5,women248,106,114,246,=3Lz
2,6,women248,106,139,301,=3Lz
1,7,women248,106,164,356,=3Lz
0,8,women248,106,189,411,=3Lz
-1,9,women248,106,214,466,=3Lz
1,1,women248,121,14,29,=3Lz+2T
1,2,women248,121,39,84,=3Lz+2T
1,3,women248,121,64,139,=3Lz+2T
1,4,women248,121,89,194,=3Lz+2T
2,5,women248,121,114,249,=3Lz+2T
0,6,women248,121,139,304,=3Lz+2T
1,7,women248,121,164,359,=3Lz+2T
1,8,women248,121,189,414,=3Lz+2T
0,9,women248,121,214,469,=3Lz+2T
-2,1,women248,158,14,39,=3T+3T
-2,2,women248,158,39,94,=3T+3T
-3,3,women248,158,64,149,=3T+3T
-2,4,women248,158,89,204,=3T+3T
-1,5,women248,158,114,259,=3T+3T
-4,6,women248,158,139,314,=3T+3T
-1,7,women248,158,164,369,=3T+3T
-1,8,women248,158,189,424,=3T+3T
-2,9,women248,158,214,479,=3T+3T
2,1,women248,183,14,47,=CCoSp
2,2,women248,183,39,102,=CCoSp
1,3,women248,183,64,157,=CCoSp
1,4,women248,183,89,212,=CCoSp
2,5,women248,183,114,267,=CCoSp
2,6,women248,183,139,322,=CCoSp
2,7,women248,183,164,377,=CCoSp
2,8,women248,183,189,432,=CCoSp
2,9,women248,183,214,487,=CCoSp
3,1,women248,208,14,48,=ChSq
2,2,women248,208,39,103,=ChSq
2,3,women248,208,64,158,=ChSq
1,4,women248,208,89,213,=ChSq
1,5,women248,208,114,268,=ChSq
2,6,women248,208,139,323,=ChSq
2,7,women248,208,164,378,=ChSq
2,8,women248,208,189,433,=ChSq
0,9,women248,208,214,488,=ChSq
2,1,women248,230,14,49,=FCCoSp
2,2,women248,230,39,104,=FCCoSp
1,3,women248,230,64,159,=FCCoSp
2,4,women248,230,89,214,=FCCoSp
2,5,women248,230,114,269,=FCCoSp
2,6,women248,230,139,324,=FCCoSp
2,7,women248,230,164,379,=FCCoSp
2,8,women248,230,189,434,=FCCoSp
2,9,women248,230,214,489,=FCCoSp
2,1,women248,261,14,53,=LSp
2,2,women248,261,39,108,=LSp
2,3,women248,261,64,163,=LSp
2,4,women248,261,89,218,=LSp
2,5,women248,261,114,273,=LSp
2,6,women248,261,139,328,=LSp
2,7,women248,261,164,383,=LSp
3,8,women248,261,189,438,=LSp
2,9,women248,261,214,493,=LSp
2,1,women248,283,14,55,=StSq
2,2,women248,283,39,110,=StSq
1,3,women248,283,64,165,=StSq
2,4,women248,283,89,220,=StSq
2,5,women248,283,114,275,=StSq
2,6,women248,283,139,330,=StSq
2,7,women248,283,164,385,=StSq
3,8,women248,283,189,440,=StSq
2,9,women248,283,214,495,=StSq
1,1,women261,25,15,6,=2A+2T
2,2,women261,25,40,61,=2A+2T
1,3,women261,25,65,116,=2A+2T
1,4,women261,25,90,171,=2A+2T
1,5,women261,25,115,226,=2A+2T
1,6,women261,25,140,281,=2A+2T
1,7,women261,25,165,336,=2A+2T
0,8,women261,25,190,391,=2A+2T
1,9,women261,25,215,446,=2A+2T
1,1,women261,33,15,7,=2A+3T
2,2,women261,33,40,62,=2A+3T
1,3,women261,33,65,117,=2A+3T
2,4,women261,33,90,172,=2A+3T
2,5,women261,33,115,227,=2A+3T
1,6,women261,33,140,282,=2A+3T
1,7,women261,33,165,337,=2A+3T
3,8,women261,33,190,392,=2A+3T
2,9,women261,33,215,447,=2A+3T
-1,1,women261,55,15,12,=3F
0,2,women261,55,40,67,=3F
-1,3,women261,55,65,122,=3F
0,4,women261,55,90,177,=3F
0,5,women261,55,115,232,=3F
0,6,women261,55,140,287,=3F
0,7,women261,55,165,342,=3F
2,8,women261,55,190,397,=3F
1,9,women261,55,215,452,=3F
2,1,women261,83,15,20,=3Lo
2,2,women261,83,40,75,=3Lo
1,3,women261,83,65,130,=3Lo
2,4,women261,83,90,185,=3Lo
2,5,women261,83,115,240,=3Lo
2,6,women261,83,140,295,=3Lo
1,7,women261,83,165,350,=3Lo
3,8,women261,83,190,405,=3Lo
2,9,women261,83,215,460,=3Lo
-2,1,women261,107,15,26,=3Lz
1,2,women261,107,40,81,=3Lz
-3,3,women261,107,65,136,=3Lz
-1,4,women261,107,90,191,=3Lz
-3,5,women261,107,115,246,=3Lz
-3,6,women261,107,140,301,=3Lz
-2,7,women261,107,165,356,=3Lz
-2,8,women261,107,190,411,=3Lz
-3,9,women261,107,215,466,=3Lz
-5,1,women261,122,15,29,=3Lz+2T
-5,2,women261,122,40,84,=3Lz+2T
-5,3,women261,122,65,139,=3Lz+2T
-5,4,women261,122,90,194,=3Lz+2T
-5,5,women261,122,115,249,=3Lz+2T
-5,6,women261,122,140,304,=3Lz+2T
-5,7,women261,122,165,359,=3Lz+2T
-5,8,women261,122,190,414,=3Lz+2T
-5,9,women261,122,215,469,=3Lz+2T
-5,1,women261,144,15,34,=3S
-5,2,women261,144,40,89,=3S
-5,3,women261,144,65,144,=3S
-5,4,women261,144,90,199,=3S
-5,5,women261,144,115,254,=3S
-5,6,women261,144,140,309,=3S
-5,7,women261,144,165,364,=3S
-5,8,women261,144,190,419,=3S
-5,9,women261,144,215,474,=3S
2,1,women261,184,15,47,=CCoSp
2,2,women261,184,40,102,=CCoSp
1,3,women261,184,65,157,=CCoSp
1,4,women261,184,90,212,=CCoSp
1,5,women261,184,115,267,=CCoSp
2,6,women261,184,140,322,=CCoSp
1,7,women261,184,165,377,=CCoSp
1,8,women261,184,190,432,=CCoSp
2,9,women261,184,215,487,=CCoSp
2,1,women261,209,15,48,=ChSq
1,2,women261,209,40,103,=ChSq
1,3,women261,209,65,158,=ChSq
0,4,women261,209,90,213,=ChSq
1,5,women261,209,115,268,=ChSq
1,6,women261,209,140,323,=ChSq
1,7,women261,209,165,378,=ChSq
2,8,women261,209,190,433,=ChSq
0,9,women261,209,215,488,=ChSq
1,1,women261,231,15,49,=FCCoSp
1,2,women261,231,40,104,=FCCoSp
1,3,women261,231,65,159,=FCCoSp
1,4,women261,231,90,214,=FCCoSp
1,5,women261,231,115,269,=FCCoSp
2,6,women261,231,140,324,=FCCoSp
2,7,women261,231,165,379,=FCCoSp
2,8,women261,231,190,434,=FCCoSp
2,9,women261,231,215,489,=FCCoSp
1,1,women261,239,15,50,=FCSSp
1,2,women261,239,40,105,=FCSSp
1,3,women261,239,65,160,=FCSSp
1,4,women261,239,90,215,=FCSSp
2,5,women261,239,115,270,=FCSSp
2,6,women261,239,140,325,=FCSSp
1,7,women261,239,165,380,=FCSSp
1,8,women261,239,190,435,=FCSSp
2,9,women261,239,215,490,=FCSSp
2,1,women261,284,15,55,=StSq
1,2,women261,284,40,110,=StSq
1,3,women261,284,65,165,=StSq
1,4,women261,284,90,220,=StSq
1,5,women261,284,115,275,=StSq
2,6,women261,284,140,330,=StSq
1,7,women261,284,165,385,=StSq
1,8,women261,284,190,440,=StSq
1,9,women261,284,215,495,=StSq
4,1,women27,16,16,4,=2A
4,2,women27,16,41,59,=2A
4,3,women27,16,66,114,=2A
5,4,women27,16,91,169,=2A
5,5,women27,16,116,224,=2A
5,6,women27,16,141,279,=2A
5,7,women27,16,166,334,=2A
4,8,women27,16,191,389,=2A
4,9,women27,16,216,444,=2A
3,1,women27,36,16,8,=2A+3T+2T
3,2,women27,36,41,63,=2A+3T+2T
3,3,women27,36,66,118,=2A+3T+2T
4,4,women27,36,91,173,=2A+3T+2T
3,5,women27,36,116,228,=2A+3T+2T
3,6,women27,36,141,283,=2A+3T+2T
3,7,women27,36,166,338,=2A+3T+2T
3,8,women27,36,191,393,=2A+3T+2T
3,9,women27,36,216,448,=2A+3T+2T
2,1,women27,64,16,15,=3F+2T
3,2,women27,64,41,70,=3F+2T
3,3,women27,64,66,125,=3F+2T
3,4,women27,64,91,180,=3F+2T
2,5,women27,64,116,235,=3F+2T
4,6,women27,64,141,290,=3F+2T
3,7,women27,64,166,345,=3F+2T
3,8,women27,64,191,400,=3F+2T
3,9,women27,64,216,455,=3F+2T
3,1,women27,72,16,19,=3F+3T
4,2,women27,72,41,74,=3F+3T
3,3,women27,72,66,129,=3F+3T
4,4,women27,72,91,184,=3F+3T
4,5,women27,72,116,239,=3F+3T
4,6,women27,72,141,294,=3F+3T
4,7,women27,72,166,349,=3F+3T
4,8,women27,72,191,404,=3F+3T
4,9,women27,72,216,459,=3F+3T
3,1,women27,84,16,20,=3Lo
4,2,women27,84,41,75,=3Lo
3,3,women27,84,66,130,=3Lo
4,4,women27,84,91,185,=3Lo
5,5,women27,84,116,240,=3Lo
5,6,women27,84,141,295,=3Lo
3,7,women27,84,166,350,=3Lo
5,8,women27,84,191,405,=3Lo
5,9,women27,84,216,460,=3Lo
1,1,women27,108,16,26,=3Lz
2,2,women27,108,41,81,=3Lz
0,3,women27,108,66,136,=3Lz
1,4,women27,108,91,191,=3Lz
3,5,women27,108,116,246,=3Lz
2,6,women27,108,141,301,=3Lz
1,7,women27,108,166,356,=3Lz
3,8,women27,108,191,411,=3Lz
3,9,women27,108,216,466,=3Lz
2,1,women27,145,16,34,=3S
3,2,women27,145,41,89,=3S
3,3,women27,145,66,144,=3S
4,4,women27,145,91,199,=3S
3,5,women27,145,116,254,=3S
5,6,women27,145,141,309,=3S
3,7,women27,145,166,364,=3S
3,8,women27,145,191,419,=3S
4,9,women27,145,216,474,=3S
3,1,women27,185,16,47,=CCoSp
3,2,women27,185,41,102,=CCoSp
3,3,women27,185,66,157,=CCoSp
2,4,women27,185,91,212,=CCoSp
1,5,women27,185,116,267,=CCoSp
2,6,women27,185,141,322,=CCoSp
2,7,women27,185,166,377,=CCoSp
0,8,women27,185,191,432,=CCoSp
2,9,women27,185,216,487,=CCoSp
4,1,women27,210,16,48,=ChSq
4,2,women27,210,41,103,=ChSq
3,3,women27,210,66,158,=ChSq
4,4,women27,210,91,213,=ChSq
4,5,women27,210,116,268,=ChSq
4,6,women27,210,141,323,=ChSq
5,7,women27,210,166,378,=ChSq
3,8,women27,210,191,433,=ChSq
4,9,women27,210,216,488,=ChSq
4,1,women27,232,16,49,=FCCoSp
3,2,women27,232,41,104,=FCCoSp
3,3,women27,232,66,159,=FCCoSp
3,4,women27,232,91,214,=FCCoSp
3,5,women27,232,116,269,=FCCoSp
4,6,women27,232,141,324,=FCCoSp
3,7,women27,232,166,379,=FCCoSp
3,8,women27,232,191,434,=FCCoSp
3,9,women27,232,216,489,=FCCoSp
3,1,women27,250,16,52,=FSSp
3,2,women27,250,41,107,=FSSp
3,3,women27,250,66,162,=FSSp
3,4,women27,250,91,217,=FSSp
3,5,women27,250,116,272,=FSSp
4,6,women27,250,141,327,=FSSp
3,7,women27,250,166,382,=FSSp
3,8,women27,250,191,437,=FSSp
3,9,women27,250,216,492,=FSSp
4,1,women27,285,16,55,=StSq
3,2,women27,285,41,110,=StSq
3,3,women27,285,66,165,=StSq
4,4,women27,285,91,220,=StSq
4,5,women27,285,116,275,=StSq
4,6,women27,285,141,330,=StSq
4,7,women27,285,166,385,=StSq
4,8,women27,285,191,440,=StSq
4,9,women27,285,216,495,=StSq
1,1,women274,17,17,4,=2A
2,2,women274,17,42,59,=2A
1,3,women274,17,67,114,=2A
1,4,women274,17,92,169,=2A
1,5,women274,17,117,224,=2A
1,6,women274,17,142,279,=2A
2,7,women274,17,167,334,=2A
2,8,women274,17,192,389,=2A
1,9,women274,17,217,444,=2A
-1,1,women274,26,17,6,=2A+2T
-1,2,women274,26,42,61,=2A+2T
-2,3,women274,26,67,116,=2A+2T
-1,4,women274,26,92,171,=2A+2T
-2,5,women274,26,117,226,=2A+2T
-1,6,women274,26,142,281,=2A+2T
-1,7,women274,26,167,336,=2A+2T
-2,8,women274,26,192,391,=2A+2T
-1,9,women274,26,217,446,=2A+2T
1,1,women274,38,17,9,=2Lz
0,2,women274,38,42,64,=2Lz
0,3,women274,38,67,119,=2Lz
0,4,women274,38,92,174,=2Lz
0,5,women274,38,117,229,=2Lz
0,6,women274,38,142,284,=2Lz
0,7,women274,38,167,339,=2Lz
0,8,women274,38,192,394,=2Lz
1,9,women274,38,217,449,=2Lz
-1,1,women274,85,17,20,=3Lo
-1,2,women274,85,42,75,=3Lo
-2,3,women274,85,67,130,=3Lo
-1,4,women274,85,92,185,=3Lo
-1,5,women274,85,117,240,=3Lo
-1,6,women274,85,142,295,=3Lo
-1,7,women274,85,167,350,=3Lo
-2,8,women274,85,192,405,=3Lo
-1,9,women274,85,217,460,=3Lo
-3,1,women274,92,17,21,=3Lo+1Eu+3S
-3,2,women274,92,42,76,=3Lo+1Eu+3S
-4,3,women274,92,67,131,=3Lo+1Eu+3S
-2,4,women274,92,92,186,=3Lo+1Eu+3S
-4,5,women274,92,117,241,=3Lo+1Eu+3S
-3,6,women274,92,142,296,=3Lo+1Eu+3S
-4,7,women274,92,167,351,=3Lo+1Eu+3S
-4,8,women274,92,192,406,=3Lo+1Eu+3S
-1,9,women274,92,217,461,=3Lo+1Eu+3S
-2,1,women274,109,17,26,=3Lz
-1,2,women274,109,42,81,=3Lz
-2,3,women274,109,67,136,=3Lz
-2,4,women274,109,92,191,=3Lz
-2,5,women274,109,117,246,=3Lz
-2,6,women274,109,142,301,=3Lz
-2,7,women274,109,167,356,=3Lz
-2,8,women274,109,192,411,=3Lz
-1,9,women274,109,217,466,=3Lz
1,1,women274,157,17,38,=3T+2T
2,2,women274,157,42,93,=3T+2T
1,3,women274,157,67,148,=3T+2T
1,4,women274,157,92,203,=3T+2T
2,5,women274,157,117,258,=3T+2T
2,6,women274,157,142,313,=3T+2T
1,7,women274,157,167,368,=3T+2T
0,8,women274,157,192,423,=3T+2T
1,9,women274,157,217,478,=3T+2T
0,1,women274,186,17,47,=CCoSp
1,2,women274,186,42,102,=CCoSp
1,3,women274,186,67,157,=CCoSp
1,4,women274,186,92,212,=CCoSp
-1,5,women274,186,117,267,=CCoSp
2,6,women274,186,142,322,=CCoSp
0,7,women274,186,167,377,=CCoSp
0,8,women274,186,192,432,=CCoSp
-1,9,women274,186,217,487,=CCoSp
2,1,women274,211,17,48,=ChSq
1,2,women274,211,42,103,=ChSq
2,3,women274,211,67,158,=ChSq
1,4,women274,211,92,213,=ChSq
2,5,women274,211,117,268,=ChSq
2,6,women274,211,142,323,=ChSq
2,7,women274,211,167,378,=ChSq
1,8,women274,211,192,433,=ChSq
1,9,women274,211,217,488,=ChSq
2,1,women274,247,17,51,=FCSp
2,2,women274,247,42,106,=FCSp
1,3,women274,247,67,161,=FCSp
2,4,women274,247,92,216,=FCSp
1,5,women274,247,117,271,=FCSp
2,6,women274,247,142,326,=FCSp
1,7,women274,247,167,381,=FCSp
1,8,women274,247,192,436,=FCSp
1,9,women274,247,217,491,=FCSp
1,1,women274,262,17,53,=LSp
1,2,women274,262,42,108,=LSp
1,3,women274,262,67,163,=LSp
0,4,women274,262,92,218,=LSp
0,5,women274,262,117,273,=LSp
2,6,women274,262,142,328,=LSp
